"Hawaii","FRS","1981","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,605","8,605","18,853","--"
"Hawaii","FRS","1982","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,158","4,158","7,508","--"
"Hawaii","FRS","1983","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","18,170","17,647","24,798","--"
"Hawaii","FRS","1992","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,908","5,884","42,802","--"
"Hawaii","FRS","1993","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","18,068","17,648","180,962","--"
"Hawaii","FRS","1994","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","35,157","34,964","346,068","--"
"Hawaii","FRS","1995","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","16,246","16,075","212,451","--"
"Hawaii","FRS","1996","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","21,708","21,708","329,026","--"
"Hawaii","FRS","1997","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,844","8,844","129,573","--"
"Hawaii","FRS","1998","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","12,677","12,677","96,897","--"
"Hawaii","FRS","1999","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,937","8,937","73,005","--"
"Hawaii","FRS","2000","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","11,340","0","0","--"
"Hawaii","FRS","2001","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","2,933","0","0","--"
"Hawaii","FRS","2002","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","2,613","0","0","--"
"Hawaii","FRS","2004","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,581","0","0","--"
"Hawaii","FRS","2005","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,306","0","0","--"
"Hawaii","FRS","2006","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,374","0","0","--"
"Hawaii","FRS","2007","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","652","0","0","--"
"Hawaii","FRS","2008","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","829","0","0","--"
"Hawaii","FRS","2009","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","2,421","0","0","--"
"Hawaii","FRS","2010","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","829","0","0","--"
"Hawaii","FRS","2012","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,013","0","0","--"
"Hawaii","FRS","2013","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,483","0","0","--"
"Hawaii","FRS","2016","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,015","0","0","--"
"Hawaii","FRS","2017","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","2,967","0","0","--"
"Hawaii","FRS","2018","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,181","0","0","--"
"Hawaii","FRS","2019","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,765","0","0","--"
"Hawaii","FRS","2020","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,400","0","0","--"
